time,status,waterLevel,waterSpeed
1:34:45 PM,AMAN,0,0
1:34:46 PM,AMAN,0,0
1:34:48 PM,AMAN,0,0
1:34:49 PM,AMAN,0,0
1:34:50 PM,AMAN,0,0
1:34:51 PM,AMAN,0,0
1:34:52 PM,AMAN,0,0
1:34:53 PM,AMAN,0,0
1:34:55 PM,AMAN,0,0
1:34:56 PM,AMAN,0,0
1:34:57 PM,AMAN,0,0
1:34:58 PM,AMAN,0,0
1:34:59 PM,AMAN,0,0
1:35:01 PM,AMAN,0,0
1:35:02 PM,AMAN,0,0
1:35:03 PM,AMAN,0,0
1:35:04 PM,AMAN,0,0
1:35:05 PM,AMAN,0,0
1:35:06 PM,AMAN,0,0
1:35:07 PM,AMAN,0,0
1:35:09 PM,AMAN,0,0
1:35:10 PM,AMAN,0,0
1:35:11 PM,AMAN,0,0
1:35:12 PM,AMAN,0,0
1:35:14 PM,AMAN,0,0
1:35:15 PM,AMAN,0,0
1:35:16 PM,AMAN,0,0
1:35:17 PM,AMAN,0,0
1:35:18 PM,AMAN,0,0
1:35:20 PM,AMAN,0,0
1:35:22 PM,AMAN,0,0
1:35:23 PM,AMAN,0,0
1:35:24 PM,AMAN,0,0
1:35:25 PM,AMAN,0,0
1:35:27 PM,AMAN,0,0
1:35:28 PM,AMAN,0,0
1:35:29 PM,AMAN,0,0
1:35:30 PM,AMAN,0,0
1:35:31 PM,AMAN,0,0
1:35:32 PM,AMAN,0,0
1:35:34 PM,AMAN,0,0
1:35:37 PM,AMAN,0,0
1:35:38 PM,AMAN,0,0
1:35:39 PM,AMAN,0,0
1:35:40 PM,AMAN,0,0
1:35:42 PM,AMAN,0,0
1:35:45 PM,AMAN,0,0
1:35:46 PM,AMAN,0,0
1:35:47 PM,AMAN,0,0
1:35:48 PM,AMAN,0,0
1:35:49 PM,AMAN,0,0
1:35:51 PM,AMAN,0,0
1:35:52 PM,AMAN,0,0
1:35:56 PM,AMAN,0,0
1:35:57 PM,AMAN,0,0
1:35:58 PM,AMAN,0,0
1:35:59 PM,AMAN,0,0
1:36:00 PM,AMAN,0,0
1:36:01 PM,AMAN,0,0
1:36:03 PM,AMAN,0,0
1:36:04 PM,AMAN,0,0
